file_name,class,name,num_inds,confidence,datetime,media,model
06210001.JPG,,,0.0,,2022-07-03 21:01:35,image,color
06210002.JPG,,,0.0,,2022-07-03 21:01:35,image,color
06210003.JPG,,,0.0,,2022-07-03 21:01:35,image,color
06210004.JPG,,,0.0,,2022-07-03 21:01:35,image,color
06210005.JPG,,,0.0,,2022-07-03 21:01:35,image,color
06210006.JPG,,,0.0,,2022-07-03 21:01:35,image,color
06210007.JPG,,,0.0,,2022-07-03 21:01:36,image,color
06210008.JPG,,,0.0,,2022-07-03 21:01:36,image,color
06210009.JPG,,,0.0,,2022-07-03 21:01:37,image,color
06210010.MP4,0.0,Black-winged Kite,1.0,0.42698579728603364,2022-07-03 21:01:37,video,color
06210011.JPG,,,0.0,,2022-07-03 21:01:39,image,color
06210012.JPG,,,0.0,,2022-07-03 21:01:39,image,color
06210013.JPG,,,0.0,,2022-07-03 21:01:40,image,color
06210014.MP4,0.0,Black-winged Kite,3.0,0.4013495081000858,2022-07-03 21:01:40,video,color
06210015.JPG,,,0.0,,2022-07-03 21:01:41,image,color
06210016.JPG,0,Black-winged Kite,1.0,0.4629039466381073,2022-07-03 21:01:42,image,color
06210017.JPG,,,0.0,,2022-07-03 21:01:43,image,color
06210018.MP4,0.0,Black-winged Kite,1.0,0.4590383470058441,2022-07-03 21:01:43,video,color
06210019.JPG,,,0.0,,2022-07-03 21:01:45,image,color
06210020.JPG,,,0.0,,2022-07-03 21:01:46,image,color
06210021.JPG,,,0.0,,2022-07-03 21:01:46,image,color
06210022.MP4,,,0.0,,2022-07-03 21:01:47,video,color
06210023.JPG,7,Red-collared Dove,1.0,0.8921487927436829,2022-07-03 21:01:48,image,color
06210024.JPG,7,Red-collared Dove,1.0,0.9163127541542053,2022-07-03 21:01:48,image,color
06210025.JPG,7,Red-collared Dove,1.0,0.9403038024902344,2022-07-03 21:01:48,image,color
06210026.MP4,7.0,Red-collared Dove,1.0,0.9361533932387829,2022-07-03 21:01:49,video,color
